;Rm;S;H;W;R;C
2011-02-28;0.0377;-0.0665;0.0554;0.0012;0.0551;-0.017
2011-03-31;0.0451;0.0138;0.0061;0.0686;-0.0524;0.023
2011-04-29;0.039;0.0646;0.0092;0.007;-0.0247;0.0055
2011-05-31;-0.0678;-0.0142;-0.0011;0.0264;0.0366;0.001
2011-06-30;-0.0036;-0.0292;0.011;0.0014;0.0319;-0.0217
2011-07-29;-0.0054;-0.076;-0.0015;0.032;0.0394;-0.0169
2011-08-31;-0.1273;-0.0375;-0.0149;0.0291;0.0454;0.0027
2011-09-30;-0.1596;0.0405;-0.0622;-0.0931;-0.0877;0.0012
2011-10-31;0.1154;-0.0151;0.0583;0.0568;0.0009;-0.0229
2011-11-30;-0.0403;-0.0708;0.003;0.0594;0.0412;0.0193
2011-12-30;-0.0848;0.0029;0.0038;0.0236;0.0141;0.0154
2012-01-31;0.1407;0.0168;0.0804;-0.1116;-0.0112;0.0125
2012-02-29;0.0837;0.0494;0.0034;-0.0227;-0.0107;-0.0104
2012-03-30;-0.0319;0.0399;-0.0555;0.0652;-0.0014;-0.02
2012-04-30;-0.0224;-0.0314;-0.0316;0.0288;0.0049;-0.0124
2012-05-31;-0.1658;0.0064;-0.0053;0.0687;-0.0318;0.016
2012-06-29;0.1001;-0.0275;-0.0132;0.0015;-0.0474;-0.0218
2012-07-31;0.0116;-0.042;-0.0017;0.0332;0.0062;-0.0228
2012-08-31;0.0246;-0.0303;0.0416;0.005;0.0142;0.0032
2012-09-28;0.0425;-0.0182;0.046;-0.0616;0.0298;0.0228
2012-10-31;-0.0073;0.0135;-0.0114;0.0316;-0.0381;-0.0255
2012-11-30;0.0056;-0.001;-0.0006;0.0152;-0.0033;-0.0023
2012-12-28;0.0672;-0.0299;-0.0109;0.0121;0.0112;-0.0077
2013-01-31;0.045;0.0216;0.0134;-0.016;0.0035;-0.0069
2013-02-28;-0.0457;0.0214;-0.0188;0.0481;-0.0004;-0.0216
2013-03-28;-0.0221;0.0078;-0.0125;0.0751;-0.0105;-0.0025
2013-04-30;-0.0066;-0.0179;-0.0263;0.0564;-0.0085;-0.0254
2013-05-31;-0.0158;0.0071;0.0212;-0.0018;-0.0024;0.0163
2013-06-28;-0.0646;0.0313;-0.0144;0.0032;0.0542;-0.0107
2013-07-31;0.0188;0.0126;0.0278;-0.0276;0.0149;0.0287
2013-08-30;-0.0262;-0.0091;0.0646;0.0122;0.056;0.0368
2013-09-30;0.0947;-0.0088;0.0136;0.0048;0.0068;-0.0147
2013-10-31;0.0478;0.047;0.0005;0.0251;-0.0143;0.032
2013-11-29;-0.0372;0.0273;-0.0194;0.0354;0.0068;0.0167
2013-12-30;-0.0305;-0.0473;-0.0022;0.0648;0.0468;0.0088
2014-01-31;-0.0754;0.0357;0.013;0.0382;0.0142;0.0145
2014-02-28;0.0115;0.05;-0.0157;0.0174;-0.0242;-0.0027
2014-03-31;-0.0029;-0.0071;-0.0051;-0.0587;-0.0473;-0.015
2014-04-30;-0.0104;0.0245;0.0246;-0.0945;-0.0334;0.0048
2014-05-30;0.0682;-0.0537;0.0315;-0.043;-0.0008;-0.0313
2014-06-30;0.0382;-0.0503;0.033;-0.0042;0.0225;0.0256
2014-07-31;-0.0557;0.0132;-0.0194;0.0415;0.005;-0.0038
2014-08-29;-0.0173;-0.0165;0.0124;0.0069;-0.002;0.0034
2014-09-30;-0.05;0.006;-0.0114;-0.0145;0.0214;0.016
2014-10-31;-0.0052;-0.0056;-0.0159;0.0358;0.0012;-0.0382
2014-11-28;-0.0456;0.0352;-0.0536;0.037;-0.0291;0.0125
2014-12-30;-0.1078;0.0538;-0.0572;0.0826;0.0025;0.0018
2015-01-30;-0.043;0.0057;-0.0168;0.0268;-0.0011;0.0351
2015-02-27;0.0716;-0.0535;0.0783;-0.1949;0.0481;-0.0028
2015-03-31;-0.0305;0.0058;0.0062;-0.0467;0.04;0.0209
2015-04-30;0.1155;-0.0403;0.052;-0.0554;-0.0261;-0.0356
2015-05-29;-0.0477;0.0306;-0.0405;0.0345;0.0093;0.0037
2015-06-30;-0.0199;-0.0163;-0.0082;0.0259;0.0115;0.0201
2015-07-31;-0.0476;0.0384;-0.0197;0.0545;0.009;0.0178
2015-08-31;-0.0344;-0.0006;-0.0362;0.0149;0.0366;0.0308
2015-09-30;-0.0497;0.0355;-0.0187;0.0158;0.0017;-0.0174
2015-10-30;0.058;-0.0305;0.0178;-0.0273;-0.048;-0.0019
2015-11-30;-0.0366;0.0125;-0.0058;-0.0091;0.0037;-0.0354
